municipality,state,code,variable,value
Villa Unión,Coahuila de Zaragoza,Coutput/pdfs/05037,"Rango de precipitación","300 - 500 mm"
Zaragoza,Coahuila de Zaragoza,Coutput/pdfs/05038,"Rango de temperatura","16 - 24°C"
Zaragoza,Coahuila de Zaragoza,Coutput/pdfs/05038,"Rango de precipitación","200 - 600 mm"
Armería,Colima,Coutput/pdfs/06001,"Rango de temperatura","22 – 28°C"
Armería,Colima,Coutput/pdfs/06001,"Rango de precipitación","600 – 1"
Colima,Colima,Coutput/pdfs/06002,"Rango de temperatura","22 – 28°C"
Colima,Colima,Coutput/pdfs/06002,"Rango de precipitación","600 – 1 300 mm"
Comala,Colima,Coutput/pdfs/06003,"Rango de temperatura","10 – 26°C"
Comala,Colima,Coutput/pdfs/06003,"Rango de precipitación","800 – 1 300 mm"
Coquimatlán,Colima,Coutput/pdfs/06004,"Rango de temperatura","18 – 28°C"
Coquimatlán,Colima,Coutput/pdfs/06004,"Rango de precipitación","700 – 1 100 mm"
Cuauhtémoc,Colima,Coutput/pdfs/06005,"Rango de temperatura","14 – 26°C"
Cuauhtémoc,Colima,Coutput/pdfs/06005,"Rango de precipitación","800 – 1 300 mm"
Ixtlahuacán,Colima,Coutput/pdfs/06006,"Rango de temperatura","22– 28°C"
Ixtlahuacán,Colima,Coutput/pdfs/06006,"Rango de precipitación","600 – 1 000 mm"
Manzanillo,Colima,Coutput/pdfs/06007,"Rango de temperatura","18 – 28°C"
Manzanillo,Colima,Coutput/pdfs/06007,"Rango de precipitación","600 – 1 300 mm"
Minatitlán,Colima,Coutput/pdfs/06008,"Rango de temperatura","16 – 26°C"
Minatitlán,Colima,Coutput/pdfs/06008,"Rango de precipitación","800 – 2 000 mm"
Tecomán,Colima,Coutput/pdfs/06009,"Rango de temperatura","22 – 28°C"
Tecomán,Colima,Coutput/pdfs/06009,"Rango de precipitación","600 – 1 100 mm"
Villa de Álvarez,Colima,Coutput/pdfs/06010,"Rango de temperatura","18 – 26°C"
Villa de Álvarez,Colima,Coutput/pdfs/06010,"Rango de precipitación","800 – 1 300 mm"
Acacoyagua,Chiapas,Coutput/pdfs/07001,"Rango de temperatura","14 – 30°C"
Acacoyagua,Chiapas,Coutput/pdfs/07001,"Rango de precipitación","2 500 – 4 000 mm"
Acala,Chiapas,Coutput/pdfs/07002,"Rango de temperatura","20 – 28°C"
Acala,Chiapas,Coutput/pdfs/07002,"Rango de precipitación","900 – 1 500 mm"
Acapetahua,Chiapas,Coutput/pdfs/07003,"Rango de temperatura","26 – 30°C"
Acapetahua,Chiapas,Coutput/pdfs/07003,"Rango de precipitación","1 500 – 3 500 mm"
Altamirano,Chiapas,Coutput/pdfs/07004,"Rango de temperatura","16 – 26°C"
